headline 	 snippet 	 date	name
Harold J. Cromer, Vaudeville Duo’s Stumpy, Is Dead	Mr. Cromer, who was in his 90s, was part of Stump and Stumpy, a comedy team that played the black theater and nightclub circuit from the 1930s to the ’50s, including the Apollo Theater in Harlem.	2013-06-17T00:00:00Z	Harold J. Cromer
Tommy Scott, Country Singer With a Traveling Medicine Show, Dies at 96	Mr. Scott, who wrote country and bluegrass hits, sang and performed comedy in a traveling medicine show long after such productions had become a rarity.	2013-10-15T00:00:00Z	Tommy Scott
James A. Emanuel, Poet Who Wrote of Racism, Dies at 92	Mr. Emanuel, a poet, educator and critic frustrated by racism in the United States, moved to France permanently after the death of his only child.	2013-10-12T00:00:00Z	James A. Emanuel
James Rensenbrink, 81, Dies; Founded Aquarian Weekly 	Mr. Rensenbrink&#8217;s Aquarian Weekly claimed to be one of the last independent alternative papers in the country and one of the oldest continuously published ones.	2013-12-05T00:00:00Z	James Rensenbrink
Joseph E. Granville, Stock Market Predictor, Dies at 90	Mr. Granville was a famous market forecaster who made his own fortune in the less risky newsletter business.	2013-09-20T00:00:00Z	Joseph E. Granville
Alvin Eisenman, Graphic Design Educator, Dies at 92	Mr. Eisenman enlisted Walker Evans as an instructor and persuaded Steve Jobs to donate early-generation computers to the program.	2013-09-11T00:00:00Z	Alvin Eisenman
Joe Weider, Creator of Bodybuilding Empire, Dies at 93	Mr. Weider, who was a mentor to Arnold Schwarzenegger, created a world of muscle magazines, fitness equipment and dietary supplements, helping popularize the sport.	2013-03-25T00:00:00Z	Joe Weider
James Rensenbrink, 81, Dies; Founded Aquarian Weekly 	Mr. Rensenbrink&#8217;s Aquarian Weekly claimed to be one of the last independent alternative papers in the country and one of the oldest continuously published ones.	2013-12-05T00:00:00Z	James Rensenbrink
Joseph E. Granville, Stock Market Predictor, Dies at 90	Mr. Granville was a famous market forecaster who made his own fortune in the less risky newsletter business.	2013-09-20T00:00:00Z	Joseph E. Granville
Bob Edgar, Lawmaker and Liberal Leader, Dies at 69	A six-term Pennsylvania congressman, Mr. Edgar was also a general secretary of the National Council of Churches and the president of the lobbying group Common Cause.	2013-04-25T00:00:00Z	Bob Edgar
Imero Fiorentino, Lighting Designer Who Mastered Television, Dies at 85	Mr. Fiorentino had a major role in some of the biggest events in TV history, including three Kennedy-Nixon debates.	2013-10-11T00:00:00Z	Imero Fiorentino
Tom Clancy, Best-Selling Master of Military Thrillers, Dies at 66	Mr. Clancy’s books were successfully transformed into blockbuster Hollywood films, including “Patriot Games,” “The Hunt for Red October” and “Clear and Present Danger.”	2013-10-03T00:00:00Z	Tom Clancy
Richard Ramirez, the ‘Night Stalker’ Killer, Dies at 53	Most of the killings were committed by Mr. Ramirez before dawn during residential burglaries, and all were markedly coldblooded, involving savage beatings, mutilations and sexual assaults.	2013-06-08T00:00:00Z	Richard Ramirez
Harold M. Agnew, Physicist Present at Birth of the Nuclear Age, Dies at 92	Dr. Agnew, who helped build the world’s first reactor and atomic bombs, flew on the first atomic strike against Japan and filmed the mushroom cloud.	2013-10-02T00:00:00Z	Harold M. Agnew
Ace Parker, Pro Football Hall of Famer From Leather-Helmet Days, Dies at 101	Parker, a star running back in the N.F.L. who also passed, caught passes, punted and place-kicked, was the oldest living member of the Pro Football Hall of Fame.	2013-11-07T00:00:00Z	Ace Parker
Eugene P. Wilkinson, Who Steered First Nuclear Submarine, Dies at 94	Admiral Wilkinson commanded the Nautilus, the military’s first machine to harness atomic fission for propulsion rather than weaponry.	2013-07-16T00:00:00Z	Eugene P. Wilkinson
Denis Forman, British TV Innovator, Is Dead at 95	Mr. Forman was the executive responsible for hit series like “The Jewel in the Crown” and “Brideshead Revisited.”	2013-02-27T00:00:00Z	Denis Forman
A. W. Clausen, a Bank of America Chief, Dies at 89	Mr. Clausen rose from a part-time position counting cash to become chief executive of Bank of America — twice — and president of the World Bank in between.	2013-01-26T00:00:00Z	A. W. Clausen
Rodolfo Hernandez, 82, Dies; Awarded Medal of Honor	Mr. Hernandez received the award for charging at the enemy in a daring assault while wounded and armed with an inoperable rifle and a bayonet when he was an Army corporal during the Korean War.	2013-12-25T00:00:00Z	Rodolfo Hernandez
Boy, 5, Is Killed in Hit-and-Run on Staten Island	The boy was crossing the street with his family after a prayer meeting, a relative said, when they were struck by a black Mercedes-Benz sedan.	2013-08-11T00:00:00Z	Boy
Lew Wood, TV Newsman, Dies at 84	Mr. Wood covered President John F. Kennedy’s assassination for CBS News and later held the news anchor’s chair on the “Today” show at NBC.	2013-08-23T00:00:00Z	Lew Wood
U Sein Win, Champion of Myanmar Press Freedom, Dies at 91	Mr. Sein Win, who was the Yangon correspondent for The Associated Press from 1969 to 1989, was jailed three times during his career but lived long enough to see censorship lifted.	2013-10-19T00:00:00Z	U Sein Win
Henri Dutilleux, Modernist Composer, Dies at 97	Mr. Dutilleux, between Olivier Messiaen and Pierre Boulez in age, was little affected by either.	2013-05-23T00:00:00Z	Henri Dutilleux
Donald Glaser, Nobel Winner in Physics, Dies at 86	Mr. Glaser, a scientist who later turned to microbiology and developing cancer therapies, invented a device called the bubble chamber to trace the paths of subatomic particles.	2013-03-05T00:00:00Z	Donald Glaser
Allan Arbus, Psychiatrist With Zingers on ‘M*A*S*H,’ Dies at 95	Mr. Arbus played Maj. Sidney Freedman on the popular TV series. He worked with his first wife, Diane Arbus, as a photographer before taking up acting.	2013-04-24T00:00:00Z	Allan Arbus
At His Former Home in TriBeCa, Fond Memories of James Gandolfini	Luis Rodriguez, a longtime doorman at the Greenwich Street apartment building where James Gandolfini once lived, said the actor had returned about a week ago to say hello to friends.	2013-06-19T23:04:51Z	At His Former Home in TriBeCa
Bob Jones, New York D.J. Heard on ‘Milkman’s Matinee’, Dies at 70	Mr. Jones, who loved to play the music of stars like Sinatra and Ellington, was known for sprinkling his WNEW-AM broadcast with details about the singers and composers.	2013-01-06T00:00:00Z	Bob Jones
Lou Brissie, an All-Star and War Hero, Dies at 89	Brissie achieved his dream and inspired people with disabilities by making the major leagues after suffering devastating leg injuries in World War II.	2013-11-27T00:00:00Z	Lou Brissie
Edmund S. Morgan, Historian Who Shed Light on Puritans, Dies at 97	Mr. Morgan was drawn to the Puritans’ intellectual world, but also explored the paradox of freedom and slavery in colonial Virginia and wrote a best-seller about Benjamin Franklin.	2013-07-09T00:00:00Z	Edmund S. Morgan
Marshall Lytle, 79, Bassist With Bill Haley, Dies	Mr. Lytle, one of the Comets, played on seminal rock ’n’ roll hits, including “Shake, Rattle and Roll” and “Rock Around the Clock.”	2013-05-29T00:00:00Z	Marshall Lytle
Robert Ward, Composed Prizewinning ‘Crucible’ Opera, Dies at 95	Mr. Ward’s best-known work, an operatic setting of “The Crucible,” won a Pulitzer Prize in 1962.	2013-04-07T00:00:00Z	Robert Ward
Ira Rubin, Champion and the Beast of the Bridge Table, Dies at 82	Mr. Rubin, an innovator in bidding theory who earned 20 national or world team titles, was nicknamed the Beast for the emotional intensity of his play.	2013-02-11T00:00:00Z	Ira Rubin
Elías Querejeta, 78, Producer of Major Spanish Films, Dies	Mr. Querejeta produced the essential works of many of his nation’s most challenging filmmakers, including “The Hunt” (1966), by Carlos Saura, which ushered in the so-called New Spanish Cinema.	2013-07-01T00:00:00Z	Elías Querejeta
Matt Mattox, Jazz Dance Pioneer, Dies at 91	Mr. Mattox, known for his “catlike agility” in “Seven Brides for Seven Brothers,” was also a pioneer of the art of jazz dancing.	2013-02-25T00:00:00Z	Matt Mattox
James Muri, Bomber Pilot Honored for Valor in Battle of Midway, Is Dead at 94	The World War II pilot bombed a Japanese aircraft carrier in the Pacific and then survived by flying his B-26 bomber directly over the enemy ship’s deck.	2013-02-10T00:00:00Z	James Muri
Man in Much-Viewed Web Video Is Arrested in Connection With New Jersey Killing	Caleb Lawrence McGillvary, who earlier this year used a hatchet to hit a man who had struck a utility worker with his car, was arrested on Thursday night.	2013-05-17T00:00:00Z	Man in Much-Viewed Web Video Is Arrested in Connection With New Jersey Killing
Robert F. Chew, Actor on ‘The Wire,’ Dies at 52	Mr. Chew, an actor best known for his roles in HBO dramas like “The Corner” and “The Wire,” was a well-regarded stage actor when he began appearing in television shows.	2013-01-19T00:00:00Z	Robert F. Chew
Stan Brooks, a Familiar Voice on 1010 WINS, Dies at 86	Mr. Brooks’s tenure and prolific output on New York’s first all-news radio station made him one of the most recognized voices on the radio for more than 40 years.	2013-12-24T00:00:00Z	Stan Brooks
Austin Goodrich, Spy Who Posed as Journalist, Dies at 87	In the 1950s and ’60s, numerous secret agents for the United States used journalism as a cover. Mr. Goodrich, unlike some, considered himself primarily a spy.	2013-07-10T00:00:00Z	Austin Goodrich
Dave Purchase Dies at 73; Led Early Needle Exchange	Mr. Purchase, a biker from Tacoma, Wash., began handing out sterile syringes on the streets to prevent AIDS among drug addicts 24 years ago.	2013-01-28T00:00:00Z	Dave Purchase Dies at 73; Led Early Needle Exchange
Stephen Simon, Conductor Who Led a Handel Revival, Dies at 75	The founder of the resident chamber orchestra of the Kennedy Center, Mr. Simon showed audiences that there was more to a composer than the “Messiah.”	2013-02-03T00:00:00Z	Stephen Simon
Pentti Lund, First Finn to Star in the N.H.L., Dies at 87	Mr. Lund, a native of Finland, played in the N.H.L. long before the league began to attract the best ice hockey players in the world.	2013-04-19T00:00:00Z	Pentti Lund
Manson Whitlock, Typewriter Repairman, Dies at 96	Mr. Whitlock, often described as America’s oldest typewriter repairman, had a shop near Yale and fixed more than 300,000 machines — but never a computer.	2013-09-08T00:00:00Z	Manson Whitlock
Harold Simmons Dies at 82; Backed Swift Boat Ads	Mr. Simmons, who built a billion-dollar empire starting with a Dallas drugstore, gave $26.9 million to “super PACs” opposing President Obama in the 2012 presidential election.	2013-12-30T00:00:00Z	Harold Simmons Dies at 82; Backed Swift Boat Ads
Edwin A. Shuman III, Former Prisoner of War Who Defied Hanoi Hilton Guards, Dies at 82	Commander Shuman, a Navy pilot whose plane was shot down in 1968, led an effort by prisoners to conduct church services in the North Vietnamese camp known as the Hanoi Hilton.	2013-12-25T00:00:00Z	Edwin A. Shuman III
William W. Scranton, 96, G.O.P. Prodigy Who Led Pennsylvania, Is Dead	Mr. Scranton, heir to a fortune in railroads and utilities, was a congressman and governor before running unsuccessfully for the Republican Party’s presidential nomination in 1964.	2013-07-30T00:00:00Z	William W. Scranton
Cal Whipple, 94, Dies; Won 1943 Fight to Print Photo of War Dead	When censors refused Life magazine permission to publish a photo showing the bodies of three American soldiers, Mr. Whipple got President Franklin D. Roosevelt to reverse the decision.	2013-03-25T00:00:00Z	Cal Whipple
Yuri M. Schmidt, Rights Lawyer in Russia, Dies at 75	Mr. Schmidt was a winner of many landmark cases in a court system known for “telephone justice,” in which party bosses dictated verdicts.	2013-01-17T00:00:00Z	Yuri M. Schmidt
Art Kaminsky, Whose Clients Won the ‘Miracle on Ice,’ Dies at 66	At one point, Mr. Kaminsky represented about one-third of the players in the N.H.L., and he branched out to handle broadcasters.	2013-12-09T00:00:00Z	Art Kaminsky
Ieng Sary, Former Official of Khmer Rouge, Dies at 87	Mr. Ieng Sary was part of an inner circle of communists who led the movement that caused the deaths of 1.7 million people in Cambodia from 1975 to 1979.	2013-03-15T00:00:00Z	Ieng Sary
Curtis Harnack, Writer and President of Yaddo, Dies at 86	Mr. Harnack wrote of his life growing up on an Iowa farm and was president of Yaddo, the artists’ retreat in Saratoga Springs, N.Y., from 1971 to 1987.	2013-07-19T00:00:00Z	Curtis Harnack
One Goal Achieved, a Father Dies at 58	Howie Borowick, whose battle with cancer was chronicled in the Metropolitan section in October, with pictures by his daughter Nancy, died on Saturday.	2013-12-15T00:00:00Z	One Goal Achieved
Sam Barshop, Hotels’ Founder, Dies at 84	Mr.Barshop, with his brother, used $45,000 in borrowed money to begin the La Quinta Inns & Suites hotel chain.	2013-12-11T00:00:00Z	Sam Barshop
Paul Cellucci, Ex-Massachusetts Governor, Dies at 65	Mr. Cellucci, a typically moderate New England Republican, also served as ambassador to Canada.	2013-06-09T00:00:00Z	Paul Cellucci
